,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,105.2900,105.68,104.39,105.0600,2033331,December,Friday,2017,EA,-0.0021844429670434414,5,12,0.0123575055081905
1,9,2017-12-28,105.2900,105.55,104.55,105.3100,1431096,December,Thursday,2017,EA,0.00018995156235156253,4,12,0.009564801530368245
2,10,2017-12-27,105.4000,106.44,104.58,105.2300,2427713,December,Wednesday,2017,EA,-0.0016129032258064677,3,12,0.017785427423981634
3,11,2017-12-26,105.6600,106.02,104.65,105.0600,1685265,December,Tuesday,2017,EA,-0.005678591709256051,2,12,0.013091256569517346
4,12,2017-12-22,108.3100,108.31,105.675,106.0200,2401349,December,Friday,2017,EA,-0.021143015418705623,5,12,0.0249349420392714
5,13,2017-12-21,107.8800,108.735,107.78,107.9700,2784216,December,Thursday,2017,EA,0.0008342602892102652,4,12,0.008860642048617539
6,14,2017-12-20,107.5000,108.87,107.15,108.4500,2642416,December,Wednesday,2017,EA,0.008837209302325608,3,12,0.016052263182454493
7,15,2017-12-19,107.4200,107.7558,106.69,107.0000,1985332,December,Tuesday,2017,EA,-0.003909886427108562,2,12,0.009989689755365976
8,16,2017-12-18,109.8900,110.0,106.56,107.3400,4241871,December,Monday,2017,EA,-0.02320502320502318,1,12,0.03228228228228226
9,17,2017-12-15,107.7700,109.68,106.63,109.2800,5755867,December,Friday,2017,EA,0.014011320404565326,5,12,0.028603582481478117
10,18,2017-12-14,105.2000,107.62,104.7,106.4200,2580582,December,Thursday,2017,EA,0.011596958174904932,4,12,0.027889207258834783
11,19,2017-12-13,107.7100,108.31,105.22,105.5400,3730504,December,Wednesday,2017,EA,-0.020146690186612085,3,12,0.02936704048659954
12,20,2017-12-12,108.0000,108.92,107.02,107.6600,3512468,December,Tuesday,2017,EA,-0.00314814814814818,2,12,0.017753690898897456
13,21,2017-12-11,105.6100,108.16,105.0,107.9200,3271833,December,Monday,2017,EA,0.02187292869993374,1,12,0.030095238095238064
14,22,2017-12-08,104.4900,106.4,104.42,105.2700,3194502,December,Friday,2017,EA,0.007464829170255538,5,12,0.01896188469641835
15,23,2017-12-07,103.2300,105.6,102.75,104.3700,3486643,December,Thursday,2017,EA,0.011043301365882016,4,12,0.02773722627737221
16,24,2017-12-06,102.9600,103.92,100.41,103.1800,4441608,December,Wednesday,2017,EA,0.002136752136752264,3,12,0.03495667762175087
17,25,2017-12-05,100.5500,105.1926,99.63,103.3800,4454836,December,Tuesday,2017,EA,0.0281452013923421,2,12,0.05583258054802774
18,26,2017-12-04,105.5300,105.875,100.68,100.8300,6476227,December,Monday,2017,EA,-0.04453709845541555,1,12,0.05159912594358356
19,27,2017-12-01,105.8600,106.87,103.95,106.0200,3836107,December,Friday,2017,EA,0.0015114301908180294,5,12,0.028090428090428107
20,28,2017-11-30,106.1100,106.5,105.06,106.3500,5395105,November,Thursday,2017,EA,0.0022618037885212975,4,11,0.013706453455168454
21,29,2017-11-29,109.2100,109.39,104.95,105.4900,5576689,November,Wednesday,2017,EA,-0.034062814760553055,3,11,0.04230585993330155
22,30,2017-11-28,106.9900,110.52,106.74,109.4700,5362601,November,Tuesday,2017,EA,0.023179736423964894,2,11,0.035413153456998324
23,31,2017-11-27,107.8600,108.285,106.79,106.9900,2398540,November,Monday,2017,EA,-0.008066011496384244,1,11,0.013999438149639389
24,32,2017-11-24,107.6600,108.58,107.59,107.9400,1306290,November,Friday,2017,EA,0.0026007802340702315,5,11,0.0092015986615856
25,33,2017-11-22,108.0400,108.44,106.61,107.3200,2512190,November,Wednesday,2017,EA,-0.006664198445020484,3,11,0.0171653691023356
26,34,2017-11-21,107.7800,108.77,107.54,107.7100,3089096,November,Tuesday,2017,EA,-0.0006494711449249155,2,11,0.011437604612237211
27,35,2017-11-20,108.2800,108.45,106.75,107.6400,5948591,November,Monday,2017,EA,-0.005910602142593282,1,11,0.015925058548009394
28,36,2017-11-17,108.9900,109.55,107.5,108.8200,8476713,November,Friday,2017,EA,-0.0015597761262501305,5,11,0.01906976744186044
29,37,2017-11-16,111.8500,113.13,111.21,111.6000,2308873,November,Thursday,2017,EA,-0.0022351363433169426,4,11,0.017264634475316985
30,38,2017-11-15,112.7200,112.87,110.52,111.4800,2483272,November,Wednesday,2017,EA,-0.011000709723207904,3,11,0.02126311979732183
31,39,2017-11-14,110.6000,113.9,110.39,112.2700,3554816,November,Tuesday,2017,EA,0.015099457504520812,2,11,0.03179635836579405
32,40,2017-11-13,112.0000,113.24,111.19,112.0100,3157879,November,Monday,2017,EA,8.928571428575996e-05,1,11,0.0184369097940462
33,41,2017-11-10,111.2600,112.83,110.82,112.7500,2515313,November,Friday,2017,EA,0.013392054646773278,5,11,0.018137520303194418
34,42,2017-11-09,112.9900,113.3,110.94,111.8900,3331403,November,Thursday,2017,EA,-0.009735374811930209,4,11,0.02127276005047773
35,43,2017-11-08,112.4500,115.6,112.1,114.1500,3393953,November,Wednesday,2017,EA,0.015117830146731905,3,11,0.0312221231043711
36,44,2017-11-07,112.2900,112.72,110.08,111.7000,2671700,November,Tuesday,2017,EA,-0.005254252382224627,2,11,0.023982558139534888
37,45,2017-11-06,112.9900,113.5,110.76,112.4600,3571671,November,Monday,2017,EA,-0.004690680591202772,1,11,0.024738172625496522
38,46,2017-11-03,113.4700,113.76,112.57,113.2000,2859092,November,Friday,2017,EA,-0.0023794835639375698,5,11,0.01057120014213389
39,47,2017-11-02,114.3500,114.52,112.6,112.6900,3405672,November,Thursday,2017,EA,-0.014516834280717067,4,11,0.017051509769094156
40,48,2017-11-01,116.0000,116.6,111.28,114.4700,9639100,November,Wednesday,2017,EA,-0.013189655172413804,3,11,0.04780733285406177
41,49,2017-10-31,118.1300,119.84,116.37,119.6000,4762517,October,Tuesday,2017,EA,0.012443917717768552,2,10,0.029818681790839553
42,50,2017-10-30,117.1300,117.77,116.64,117.5800,2599653,October,Monday,2017,EA,0.0038418850849483723,1,10,0.009687928669410113
43,51,2017-10-27,116.8300,117.55,115.41,116.8900,2883562,October,Friday,2017,EA,0.0005135667208765066,5,10,0.018542587297461232
44,52,2017-10-26,115.0700,117.06,115.02,115.8300,2443955,October,Thursday,2017,EA,0.006604675414964849,4,10,0.017736045905060043
45,53,2017-10-25,113.2000,114.88,112.59,114.5600,2963441,October,Wednesday,2017,EA,0.01201413427561837,3,10,0.020339284128252883
46,54,2017-10-24,113.6800,114.72,112.76,113.3900,1847039,October,Tuesday,2017,EA,-0.00255102040816332,2,10,0.017382050372472452
47,55,2017-10-23,113.8100,114.43,112.73,113.6600,2060904,October,Monday,2017,EA,-0.0013179861172129487,1,10,0.015080280315798836
48,56,2017-10-20,113.6000,114.28,113.15,113.6200,1921562,October,Friday,2017,EA,0.0001760563380282591,5,10,0.009986743261157715
