level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
4531,2018-01-05,173.4400,175.3700,173.0500,175.0000,23016177,January,Friday,2018,AAPL,0.011385308905970056
4530,2018-01-04,172.5400,173.4700,172.0800,173.0300,22211345,January,Thursday,2018,AAPL,0.004644951518318594
4529,2018-01-03,172.5300,174.5500,171.9600,172.2300,28819653,January,Wednesday,2018,AAPL,-0.0001741553465691463
4528,2018-01-02,170.1600,172.3000,169.2600,172.2600,25048048,January,Tuesday,2018,AAPL,0.017904626839212914
4527,2017-12-29,170.5200,170.5900,169.2200,169.2300,25643711,December,Friday,2017,AAPL,-0.01081365443067584
4526,2017-12-28,171.0000,171.8500,170.4800,171.0800,15997739,December,Thursday,2017,AAPL,0.0028135990621337525
4525,2017-12-27,170.1000,170.7800,169.7100,170.6000,21672062,December,Wednesday,2017,AAPL,0.00017588087002404372
4524,2017-12-26,170.8000,171.4700,169.6790,170.5700,32968167,December,Tuesday,2017,AAPL,-0.02536997885835094
4523,2017-12-22,174.6800,175.4240,174.5000,175.0100,16052615,December,Friday,2017,AAPL,0.0
4522,2017-12-21,174.1700,176.0200,174.1000,175.0100,20356826,December,Thursday,2017,AAPL,0.003785488958990517
4521,2017-12-20,174.8700,175.4200,173.2500,174.3500,23000392,December,Wednesday,2017,AAPL,-0.0010885756846567992
4520,2017-12-19,175.0300,175.3900,174.0900,174.5400,27078872,December,Tuesday,2017,AAPL,-0.010656388164607162
4519,2017-12-18,174.8800,177.2000,174.8600,176.4200,28831533,December,Monday,2017,AAPL,0.014082887854227675
4518,2017-12-15,173.6300,174.1700,172.4600,173.9700,37054632,December,Friday,2017,AAPL,0.01016142143769597
4517,2017-12-14,172.4000,173.1300,171.6500,172.2200,20219307,December,Thursday,2017,AAPL,-0.00029024206187967355
4516,2017-12-13,172.5000,173.5400,172.0000,172.2700,23142242,December,Wednesday,2017,AAPL,0.003319743739079916
4515,2017-12-12,172.1500,172.3900,171.4610,171.7000,18945457,December,Tuesday,2017,AAPL,-0.0056176521688770424
4514,2017-12-11,169.2000,172.8900,168.7900,172.6700,33092051,December,Monday,2017,AAPL,0.019483970006494555
4513,2017-12-08,170.4900,171.0000,168.8200,169.3700,23096872,December,Friday,2017,AAPL,0.00029529884242860484
4512,2017-12-07,169.0300,170.4400,168.9100,169.3200,24469613,December,Thursday,2017,AAPL,0.0018342109934323548
4511,2017-12-06,167.5000,170.2047,166.4600,169.0100,28224357,December,Wednesday,2017,AAPL,-0.0037137467578401057
4510,2017-12-05,169.0600,171.5200,168.4000,169.6400,27008428,December,Tuesday,2017,AAPL,-0.0009422850412251178
4509,2017-12-04,172.4800,172.6200,169.6300,169.8000,32115052,December,Monday,2017,AAPL,-0.007307804735457468
4508,2017-12-01,169.9500,171.6700,168.5000,171.0500,39590080,December,Friday,2017,AAPL,-0.004655222577829404
4507,2017-11-30,170.4300,172.1400,168.4400,171.8500,40172368,November,Thursday,2017,AAPL,0.013983950908661816
4506,2017-11-29,172.6300,172.9200,167.1600,169.4800,40788324,November,Wednesday,2017,AAPL,-0.020743051944300015
4505,2017-11-28,174.3000,174.8700,171.8600,173.0700,25468442,November,Tuesday,2017,AAPL,-0.005859038428399163
4504,2017-11-27,175.0500,175.0800,173.3400,174.0900,20536313,November,Monday,2017,AAPL,-0.005029433617191492
4503,2017-11-24,175.1000,175.5000,174.6459,174.9700,14026519,November,Friday,2017,AAPL,5.7155921353400235e-05
4502,2017-11-22,173.3600,175.0000,173.0500,174.9600,24997274,November,Wednesday,2017,AAPL,0.01051172461591788
4501,2017-11-21,170.7800,173.7000,170.7800,173.1400,24875471,November,Tuesday,2017,AAPL,0.018590422402635587
4500,2017-11-20,170.2900,170.5600,169.5600,169.9800,15974387,November,Monday,2017,AAPL,-0.0009991184249192825
4499,2017-11-17,171.0400,171.3900,169.6400,170.1500,21665811,November,Friday,2017,AAPL,-0.0055523085914669125
4498,2017-11-16,171.1800,171.8700,170.3000,171.1000,23497326,November,Thursday,2017,AAPL,0.011947007333806374
4497,2017-11-15,169.9700,170.3197,168.3800,169.0800,28702351,November,Wednesday,2017,AAPL,-0.013190148243258964
4496,2017-11-14,173.0400,173.4800,171.1800,171.3400,23588451,November,Tuesday,2017,AAPL,-0.01511754900270159
4495,2017-11-13,173.5000,174.5000,173.4000,173.9700,16828025,November,Monday,2017,AAPL,-0.00400755710768872
4494,2017-11-10,175.1100,175.3800,174.2700,174.6700,25061183,November,Friday,2017,AAPL,-0.006879690698203366
4493,2017-11-09,175.1100,176.0950,173.1400,175.8800,28636531,November,Thursday,2017,AAPL,-0.002042669087607885
4492,2017-11-08,174.6600,176.2400,174.3300,176.2400,24409527,November,Wednesday,2017,AAPL,0.008180310050912458
4491,2017-11-07,173.9100,175.2500,173.6000,174.8100,23910914,November,Tuesday,2017,AAPL,0.0032137733142037434
4490,2017-11-06,172.3650,174.9900,171.7200,174.2500,34242566,November,Monday,2017,AAPL,0.010144927536231883
4489,2017-11-03,174.0000,174.2600,171.1200,172.5000,58683826,November,Friday,2017,AAPL,0.02611385402415077
4488,2017-11-02,167.6400,168.5000,165.2800,168.1100,32710040,November,Thursday,2017,AAPL,0.007310204326203052
4487,2017-11-01,169.8700,169.9400,165.6100,166.8900,33100847,November,Wednesday,2017,AAPL,-0.012718883104590665
4486,2017-10-31,167.9000,169.6499,166.9400,169.0400,35474672,October,Tuesday,2017,AAPL,0.013915547024951975
4485,2017-10-30,163.8900,168.0700,163.7200,166.7200,43923292,October,Monday,2017,AAPL,0.022508432996013416
4484,2017-10-27,159.2900,163.6000,158.7000,163.0500,43904150,October,Friday,2017,AAPL,0.035829998094149135
4483,2017-10-26,157.2300,157.8295,156.7800,157.4100,16751691,October,Thursday,2017,AAPL,0.006393453104021482
4482,2017-10-25,156.9100,157.5500,155.2700,156.4100,20126554,October,Wednesday,2017,AAPL,-0.004392106938255874
4481,2017-10-24,156.2900,157.4200,156.2000,157.1000,17137731,October,Tuesday,2017,AAPL,0.005955048985080405
4480,2017-10-23,156.8900,157.6900,155.5000,156.1700,21654461,October,Monday,2017,AAPL,-0.00051200000000008
4479,2017-10-20,156.6100,157.7500,155.9600,156.2500,23612246,October,Friday,2017,AAPL,0.0017309911527119519
4478,2017-10-19,156.7500,157.0800,155.0200,155.9800,42111326,October,Thursday,2017,AAPL,-0.023660490736104163
4477,2017-10-18,160.4200,160.7100,159.6000,159.7600,16158659,October,Wednesday,2017,AAPL,-0.0044245030223718325
