,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num
0,6,2017-12-29,159.0000,163.9900,159.0000,161.9200,247379,December,Friday,2017,ROG,0.02493986580579819,5,12
1,7,2017-12-28,157.7100,159.1600,155.8000,157.9800,79169,December,Thursday,2017,ROG,0.0026020181506631757,4,12
2,8,2017-12-27,158.0500,159.9600,155.6000,157.5700,91418,December,Wednesday,2017,ROG,0.0008257113821137922,3,12
3,9,2017-12-26,158.6000,158.6000,155.0201,157.4400,135675,December,Tuesday,2017,ROG,-0.013533834586466145,2,12
4,10,2017-12-22,160.2800,161.8700,159.4801,159.6000,59719,December,Friday,2017,ROG,-0.015544041450777264,5,12
5,11,2017-12-21,162.6300,164.2600,161.8800,162.1200,60086,December,Thursday,2017,ROG,-0.0032585305871503296,4,12
6,12,2017-12-20,163.0200,167.3800,161.7750,162.6500,124656,December,Wednesday,2017,ROG,-0.002330859351039658,3,12
7,13,2017-12-19,164.0000,165.4900,162.1617,163.0300,101434,December,Tuesday,2017,ROG,0.0001226918593951919,2,12
8,14,2017-12-18,162.4900,163.5000,161.5000,163.0100,144739,December,Monday,2017,ROG,0.013365659579758654,1,12
9,15,2017-12-15,157.8300,161.5800,157.0300,160.8600,198144,December,Friday,2017,ROG,0.027399885035447536,5,12
10,16,2017-12-14,155.8500,158.0800,155.6800,156.5700,100302,December,Thursday,2017,ROG,-0.009927911976729438,4,12
11,17,2017-12-13,156.9900,160.0500,153.9110,158.1400,108817,December,Wednesday,2017,ROG,0.006043641453018568,3,12
12,18,2017-12-12,155.3400,158.4300,155.3400,157.1900,229129,December,Tuesday,2017,ROG,0.011974505890684254,2,12
13,19,2017-12-11,154.6500,155.9900,154.4700,155.3300,146214,December,Monday,2017,ROG,0.002129032258064597,1,12
14,20,2017-12-08,155.4000,156.3100,153.5400,155.0000,105163,December,Friday,2017,ROG,0.006297474517951041,5,12
15,21,2017-12-07,151.6100,154.1800,151.2500,154.0300,133652,December,Thursday,2017,ROG,0.018716931216931302,4,12
