level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
3369,2018-01-05,1103.4500,1113.5800,1101.8000,1110.2900,1493389,January,Friday,2018,GOOGL,0.01326020296415271
3368,2018-01-04,1097.0900,1104.0800,1094.2600,1095.7600,1289293,January,Thursday,2018,GOOGL,0.0038844913515098294
3367,2018-01-03,1073.9300,1096.1000,1073.4300,1091.5200,1550593,January,Wednesday,2018,GOOGL,0.017060966632811793
3366,2018-01-02,1053.0200,1075.9800,1053.0200,1073.2100,1555809,January,Tuesday,2018,GOOGL,0.018805771786595732
3365,2017-12-29,1055.4900,1058.0500,1052.7000,1053.4000,1156357,December,Friday,2017,GOOGL,-0.0024148870685164587
3364,2017-12-28,1062.2500,1064.8400,1053.3800,1055.9500,982285,December,Thursday,2017,GOOGL,-0.0040086776079984905
3363,2017-12-27,1066.6000,1068.2700,1058.3800,1060.2000,1027634,December,Wednesday,2017,GOOGL,-0.005300933527231659
3362,2017-12-26,1068.6400,1068.8600,1058.6400,1065.8500,914574,December,Tuesday,2017,GOOGL,-0.0028160844263982105
3361,2017-12-22,1070.0000,1071.7200,1067.6400,1068.8600,860800,December,Friday,2017,GOOGL,-0.0018583368352243631
3360,2017-12-21,1075.3900,1077.5200,1069.0000,1070.8500,1211012,December,Thursday,2017,GOOGL,-0.002524311636052048
3359,2017-12-20,1080.9200,1081.2300,1068.6000,1073.5600,1429035,December,Wednesday,2017,GOOGL,-0.005760432680731286
3358,2017-12-19,1083.0200,1084.9700,1072.2700,1079.7800,1287930,December,Tuesday,2017,GOOGL,-0.004893603295579118
3357,2017-12-18,1076.4500,1086.4900,1070.3700,1085.0900,1482768,December,Monday,2017,GOOGL,0.012210820895522312
3356,2017-12-15,1063.7800,1075.2500,1060.0900,1072.0000,3080738,December,Friday,2017,GOOGL,0.013740342515626894
3355,2017-12-14,1055.4900,1067.0800,1053.6000,1057.4700,1531504,December,Thursday,2017,GOOGL,0.005782820837177381
3354,2017-12-13,1052.0800,1055.4800,1046.5800,1051.3900,1369580,December,Wednesday,2017,GOOGL,0.002498164516528999
3353,2017-12-12,1050.0000,1062.5000,1044.8700,1048.7700,1684977,December,Tuesday,2017,GOOGL,-0.003041911841592484
3352,2017-12-11,1051.1100,1056.0000,1044.1200,1051.9700,1096997,December,Monday,2017,GOOGL,0.002468124035144483
3351,2017-12-08,1051.8100,1056.4200,1045.8600,1049.3800,1479665,December,Friday,2017,GOOGL,0.0046047655973272955
3350,2017-12-07,1036.0700,1048.9200,1035.3600,1044.5700,1437448,December,Thursday,2017,GOOGL,0.011474552637694544
3349,2017-12-06,1016.5200,1039.5800,1015.3100,1032.7200,1369276,December,Wednesday,2017,GOOGL,0.01286779129070224
3348,2017-12-05,1010.9900,1036.6800,1002.3200,1019.6000,1927802,December,Tuesday,2017,GOOGL,0.007639321256683189
3347,2017-12-04,1027.8000,1031.3400,1009.2200,1011.8700,1896325,December,Monday,2017,GOOGL,-0.012877169364043366
3346,2017-12-01,1030.4100,1037.2400,1016.9000,1025.0700,1866985,December,Friday,2017,GOOGL,-0.010712527867048974
3345,2017-11-30,1039.9400,1044.1400,1030.0700,1036.1700,2231818,November,Thursday,2017,GOOGL,-0.0011663999691530935
3344,2017-11-29,1056.1800,1058.7700,1029.6500,1037.3800,2787784,November,Wednesday,2017,GOOGL,-0.024367764203556748
3343,2017-11-28,1073.9900,1080.0000,1054.5400,1063.2900,1694098,November,Tuesday,2017,GOOGL,-0.008134252478988096
3342,2017-11-27,1058.5700,1073.0400,1054.7700,1072.0100,1708195,November,Monday,2017,GOOGL,0.014661341006322654
3341,2017-11-24,1054.3900,1060.0700,1051.9200,1056.5200,825342,November,Friday,2017,GOOGL,0.004372956118335909
3340,2017-11-22,1051.1600,1055.4300,1047.2500,1051.9200,721498,November,Wednesday,2017,GOOGL,0.001542416452442272
3339,2017-11-21,1040.0400,1050.3900,1039.1400,1050.3000,1075568,November,Tuesday,2017,GOOGL,0.0151160767788451
