,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,159.0000,163.99,159.0,161.9200,247379,December,Friday,2017,ROG,0.018364779874213758,5,12,0.0313836477987422
1,9,2017-12-28,157.7100,159.16,155.8,157.9800,79169,December,Thursday,2017,ROG,0.0017120030435608508,4,12,0.021566110397945988
2,10,2017-12-27,158.0500,159.96,155.6,157.5700,91418,December,Wednesday,2017,ROG,-0.003037013603290213,3,12,0.028020565552699318
3,11,2017-12-26,158.6000,158.6,155.0201,157.4400,135675,December,Tuesday,2017,ROG,-0.007313997477931883,2,12,0.02309313437418748
4,12,2017-12-22,160.2800,161.87,159.4801,159.6000,59719,December,Friday,2017,ROG,-0.00424257549288749,5,12,0.014985568732399914
5,13,2017-12-21,162.6300,164.26,161.88,162.1200,60086,December,Thursday,2017,ROG,-0.0031359527762404903,4,12,0.014702248579194437
6,14,2017-12-20,163.0200,167.38,161.775,162.6500,124656,December,Wednesday,2017,ROG,-0.0022696601643970343,3,12,0.03464688610724766
7,15,2017-12-19,164.0000,165.49,162.1617,163.0300,101434,December,Tuesday,2017,ROG,-0.0059146341463414565,2,12,0.020524575161705957
8,16,2017-12-18,162.4900,163.5,161.5,163.0100,144739,December,Monday,2017,ROG,0.0032001969351959,1,12,0.01238390092879257
9,17,2017-12-15,157.8300,161.58,157.03,160.8600,198144,December,Friday,2017,ROG,0.019197871127162144,5,12,0.028975355027701787
10,18,2017-12-14,155.8500,158.08,155.68,156.5700,100302,December,Thursday,2017,ROG,0.0046198267564966245,4,12,0.015416238437821207
11,19,2017-12-13,156.9900,160.05,153.911,158.1400,108817,December,Wednesday,2017,ROG,0.007325307344416696,3,12,0.039886687761108756
12,20,2017-12-12,155.3400,158.43,155.34,157.1900,229129,December,Tuesday,2017,ROG,0.011909360113299822,2,12,0.019891850135187353
13,21,2017-12-11,154.6500,155.99,154.47,155.3300,146214,December,Monday,2017,ROG,0.004397025541545469,1,12,0.009840098400984076
