,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,140.9800,141.2074,139.58,139.7200,4419945,December,Friday,2017,JNJ,-0.008937437934458725,5,12,0.011659263504800073
1,9,2017-12-28,140.7000,141.0,140.33,140.5600,2237834,December,Thursday,2017,JNJ,-0.0009950248756217938,4,12,0.004774460200954803
2,10,2017-12-27,140.4200,141.15,140.2,140.5700,3645694,December,Wednesday,2017,JNJ,0.0010682238997294239,3,12,0.006776034236804687
3,11,2017-12-26,140.4600,140.54,139.68,140.0900,3268365,December,Tuesday,2017,JNJ,-0.002634201908016549,2,12,0.006156930126002185
4,12,2017-12-22,140.9000,141.35,140.04,140.1200,4655340,December,Friday,2017,JNJ,-0.005535841022001427,5,12,0.009354470151385335
5,13,2017-12-21,141.7600,142.17,141.02,141.0600,5501307,December,Thursday,2017,JNJ,-0.0049379232505642546,4,12,0.008154871649411269
6,14,2017-12-20,142.2900,142.58,141.08,141.1600,5933448,December,Wednesday,2017,JNJ,-0.007941527865626507,3,12,0.010632265381343917
7,15,2017-12-19,141.7200,142.38,141.36,141.7800,6453244,December,Tuesday,2017,JNJ,0.00042337002540221755,2,12,0.007215619694397154
8,16,2017-12-18,142.4300,143.8,141.401,141.8000,5821869,December,Monday,2017,JNJ,-0.00442322544407776,1,12,0.016965933762844682
9,17,2017-12-15,142.7300,143.14,141.78,142.4600,12012749,December,Friday,2017,JNJ,-0.001891683598402451,5,12,0.009592326139088624
10,18,2017-12-14,143.6000,143.62,141.61,141.6500,5332273,December,Thursday,2017,JNJ,-0.013579387186629448,4,12,0.014193912859261287
11,19,2017-12-13,142.5000,143.43,142.21,142.8900,5754026,December,Wednesday,2017,JNJ,0.0027368421052630623,3,12,0.008578862245974254
12,20,2017-12-12,142.0600,143.57,142.04,142.6000,8013643,December,Tuesday,2017,JNJ,0.0038012107560185275,2,12,0.010771613629963398
13,21,2017-12-11,140.1000,141.17,139.83,141.1400,4325895,December,Monday,2017,JNJ,0.007423269093504583,1,12,0.009583065150539761
14,22,2017-12-08,140.0000,140.76,139.8,140.5900,4343488,December,Friday,2017,JNJ,0.004214285714285739,5,12,0.006866952789699424
15,23,2017-12-07,141.0000,141.499,139.26,140.0100,4705180,December,Thursday,2017,JNJ,-0.007021276595744745,4,12,0.016077840011489333
16,24,2017-12-06,140.2500,141.96,140.19,141.0600,5304506,December,Wednesday,2017,JNJ,0.005775401069518733,3,12,0.012625722234110922
17,25,2017-12-05,139.8800,140.81,139.2,139.6700,6738613,December,Tuesday,2017,JNJ,-0.0015012868172720043,2,12,0.011566091954023087
