level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change
1413,2017-12-29,178.0,178.85,176.46,176.46,10028758,December,Friday,2017,FB,-0.008205935251798446
1412,2017-12-28,177.95,178.9367,177.68,177.92,11008996,December,Thursday,2017,FB,0.001688998986600512
1411,2017-12-27,176.55,178.44,176.26,177.62,9296258,December,Wednesday,2017,FB,0.0092618898801068
1410,2017-12-26,176.63,177.0,174.67,175.99,8726829,December,Tuesday,2017,FB,-0.006828442437923136
1409,2017-12-22,177.14,177.53,176.23,177.2,8462491,December,Friday,2017,FB,-0.0014088475626937169
1408,2017-12-21,177.94,178.68,177.05,177.45,11050969,December,Thursday,2017,FB,-0.002473438641857315
1407,2017-12-20,179.81,179.81,177.36,177.89,11754823,December,Wednesday,2017,FB,-0.009024566876497156
1406,2017-12-19,179.95,180.08,178.22,179.51,14769239,December,Tuesday,2017,FB,-0.0072447738082070685
1405,2017-12-18,181.01,181.3,179.75,180.82,17014337,December,Monday,2017,FB,0.0035520035520034757
1404,2017-12-15,179.02,180.4934,178.36,180.18,26225100,December,Friday,2017,FB,0.010034194741857842
1403,2017-12-14,178.29,180.3601,177.68,178.39,13393757,December,Thursday,2017,FB,0.0005047672462141054
1402,2017-12-13,177.3,179.16,177.25,178.3,14406776,December,Wednesday,2017,FB,0.007572332730560597
1401,2017-12-12,178.6,179.18,176.6,176.96,16675275,December,Tuesday,2017,FB,-0.011617515638963271
1400,2017-12-11,179.3,180.22,178.8,179.04,12630207,December,Monday,2017,FB,0.0002234636871507936
1399,2017-12-08,181.53,182.28,178.7401,179.0,19377310,December,Friday,2017,FB,-0.006328411235705486
1398,2017-12-07,175.8,180.39,175.8,180.14,19588217,December,Thursday,2017,FB,0.023173917982505874
1397,2017-12-06,172.5,176.77,171.9,176.06,20059293,December,Wednesday,2017,FB,0.018688885031533816
1396,2017-12-05,170.45,175.38,169.01,172.83,20028656,December,Tuesday,2017,FB,0.00793141657432795
1395,2017-12-04,176.29,176.57,170.79,171.47,24184006,December,Monday,2017,FB,-0.02073101085094229
1394,2017-12-01,176.03,177.48,172.34,175.1,19966643,December,Friday,2017,FB,-0.011739473981262065
1393,2017-11-30,176.85,178.275,175.2,177.18,25127073,November,Thursday,2017,FB,0.011705590133044091
1392,2017-11-29,181.89,181.97,174.0,175.13,41843917,November,Wednesday,2017,FB,-0.03996272338559365
1391,2017-11-28,183.51,184.25,182.09,182.42,13761926,November,Tuesday,2017,FB,-0.003332786974812947
1390,2017-11-27,182.56,183.73,181.99,183.03,12249740,November,Monday,2017,FB,0.0013677645256592625
1389,2017-11-24,180.4,183.15,180.29,182.78,9426010,November,Friday,2017,FB,0.010560070769060629
1388,2017-11-22,181.3,181.73,180.44,180.87,10238140,November,Wednesday,2017,FB,-0.005443747937974316
1387,2017-11-21,179.15,181.89,178.99,181.86,14409305,November,Tuesday,2017,FB,0.017455521987244066
1386,2017-11-20,178.87,179.5,178.1,178.74,10052391,November,Monday,2017,FB,-0.001452513966480396
1385,2017-11-17,179.3,179.98,178.9,179.0,12722802,November,Friday,2017,FB,-0.003285260871986209
1384,2017-11-16,178.76,179.83,178.5,179.59,15230062,November,Thursday,2017,FB,0.009216071930317588
1383,2017-11-15,176.66,178.57,176.4,177.95,10131051,November,Wednesday,2017,FB,-0.0006738922895490793
