,level_0,index,1. open,2. high,3. low,4. close,5. volume,Month,Day,Year,Company,daily change,Date to Num,Month to Num,Volatility
0,8,2017-12-29,1182.3500,1184.0,1167.5,1169.4700,2625283,December,Friday,2017,AMZN,-0.010893559436714918,5,12,0.014132762312633832
1,9,2017-12-28,1189.0000,1190.1,1184.38,1186.1000,1803460,December,Thursday,2017,AMZN,-0.0024390243902439788,4,12,0.004829531062665529
2,10,2017-12-27,1179.9100,1187.29,1175.61,1182.2600,1779382,December,Wednesday,2017,AMZN,0.001991677331321803,3,12,0.009935267648284776
3,11,2017-12-26,1168.3600,1178.32,1160.55,1176.7600,1964871,December,Tuesday,2017,AMZN,0.007189564860145924,2,12,0.01531170565680064
4,12,2017-12-22,1172.0800,1174.62,1167.83,1168.3600,1553997,December,Friday,2017,AMZN,-0.0031738447887516446,5,12,0.005814202409597256
5,13,2017-12-21,1175.9000,1179.17,1167.64,1174.7600,2042448,December,Thursday,2017,AMZN,-0.0009694701930437112,4,12,0.00987461888938369
6,14,2017-12-20,1190.5000,1191.0,1176.0,1177.6200,2318916,December,Wednesday,2017,AMZN,-0.010818983620327686,3,12,0.012755102040816327
7,15,2017-12-19,1189.1500,1192.97,1179.14,1187.3800,2555235,December,Tuesday,2017,AMZN,-0.0014884581423705854,2,12,0.01172888715504514
8,16,2017-12-18,1187.3700,1194.78,1180.91,1190.5800,2767271,December,Monday,2017,AMZN,0.0027034538517901217,1,12,0.011745179564911713
9,17,2017-12-15,1179.0300,1182.75,1169.33,1179.1400,4539895,December,Friday,2017,AMZN,9.329703230632583e-05,5,12,0.011476657573140238
10,18,2017-12-14,1163.7100,1177.93,1162.45,1174.2600,3069993,December,Thursday,2017,AMZN,0.00906583255278373,4,12,0.013316701793625547
11,19,2017-12-13,1170.0000,1170.87,1160.27,1164.1300,2555053,December,Wednesday,2017,AMZN,-0.005017094017093924,3,12,0.009135804597205744
12,20,2017-12-12,1166.5100,1173.6,1161.61,1165.0800,2197697,December,Tuesday,2017,AMZN,-0.0012258789037385566,2,12,0.010321880837802713
13,21,2017-12-11,1164.6000,1169.9,1157.0,1168.9200,2257922,December,Monday,2017,AMZN,0.0037094281298301252,1,12,0.01114952463267078
14,22,2017-12-08,1170.4000,1172.79,1157.1,1162.0000,2957785,December,Friday,2017,AMZN,-0.007177033492823044,5,12,0.013559761472647184
15,23,2017-12-07,1156.5900,1163.19,1151.0,1159.7900,2408323,December,Thursday,2017,AMZN,0.0027667539923395892,4,12,0.010590790616854957
16,24,2017-12-06,1137.9900,1155.89,1136.08,1152.3500,2756730,December,Wednesday,2017,AMZN,0.012618740059227146,3,12,0.017437152313217533
17,25,2017-12-05,1128.2600,1159.27,1124.74,1141.5700,4033184,December,Tuesday,2017,AMZN,0.011796926240405532,2,12,0.03070042854348558
18,26,2017-12-04,1173.8500,1175.2,1128.0,1133.9500,5872358,December,Monday,2017,AMZN,-0.033990714316139085,1,12,0.04184397163120571
19,27,2017-12-01,1172.0500,1179.65,1152.0,1162.3500,4070722,December,Friday,2017,AMZN,-0.008276097436116245,5,12,0.02400173611111119
20,28,2017-11-30,1167.1000,1178.57,1160.0,1176.7500,4470183,November,Thursday,2017,AMZN,0.008268357467226537,4,11,0.01600862068965512
21,29,2017-11-29,1194.8000,1194.8,1145.19,1161.2700,9239087,November,Wednesday,2017,AMZN,-0.02806327418814862,3,11,0.04332032239191741
22,30,2017-11-28,1204.8800,1205.34,1188.52,1193.6000,4463476,November,Tuesday,2017,AMZN,-0.00936192815882096,2,11,0.014152054656211032
23,31,2017-11-27,1202.6600,1213.41,1191.15,1195.8300,6701343,November,Monday,2017,AMZN,-0.005679078043669994,1,11,0.018687822692356117
24,32,2017-11-24,1160.7000,1186.84,1160.7,1186.0000,3526582,November,Friday,2017,AMZN,0.021797191350047346,5,11,0.022520892564831457
25,33,2017-11-22,1141.0000,1160.27,1141.0,1156.1600,3516336,November,Wednesday,2017,AMZN,0.013286590709903665,3,11,0.016888694127957914
26,34,2017-11-21,1132.8600,1140.0,1128.2,1139.4900,2449503,November,Tuesday,2017,AMZN,0.0058524442561305986,2,11,0.01045913845062928
27,35,2017-11-20,1129.7700,1133.42,1122.55,1126.3100,2134381,November,Monday,2017,AMZN,-0.0030625702576630963,1,11,0.0096833103202531
28,36,2017-11-17,1138.2800,1138.8,1125.81,1129.8800,2333554,November,Friday,2017,AMZN,-0.007379555118248466,5,11,0.011538359048152006
29,37,2017-11-16,1130.1600,1138.16,1130.05,1137.2900,2190456,November,Thursday,2017,AMZN,0.006308841226020989,4,11,0.007176673598513453
30,38,2017-11-15,1127.0100,1131.75,1121.63,1126.6900,3897230,November,Wednesday,2017,AMZN,-0.00028393714341482006,3,11,0.00902258320480006
31,39,2017-11-14,1130.1100,1138.0,1123.89,1136.8400,3042295,November,Tuesday,2017,AMZN,0.005955172505331356,2,11,0.012554609436866508
32,40,2017-11-13,1123.0000,1139.9,1122.34,1129.1700,2897563,November,Monday,2017,AMZN,0.005494211932324197,1,11,0.01564588270933957
33,41,2017-11-10,1126.1000,1131.75,1124.06,1125.3500,2162985,November,Friday,2017,AMZN,-0.0006660154515584762,5,11,0.006841271818230393
34,42,2017-11-09,1125.9600,1129.62,1115.77,1129.1300,3661411,November,Thursday,2017,AMZN,0.002815375324167886,4,11,0.012412952490208474
35,43,2017-11-08,1122.8200,1135.54,1119.11,1132.8800,2581451,November,Wednesday,2017,AMZN,0.008959583904811256,3,11,0.014681309254675649
36,44,2017-11-07,1124.7400,1130.6,1117.5,1123.1700,2623474,November,Tuesday,2017,AMZN,-0.0013958781585076874,2,11,0.011722595078299695
37,45,2017-11-06,1109.1500,1125.41,1108.77,1120.6600,3313857,November,Monday,2017,AMZN,0.01037731596267411,1,11,0.015007621057568386
38,46,2017-11-03,1091.1500,1112.68,1088.52,1111.6000,3685172,November,Friday,2017,AMZN,0.01874169454245504,5,11,0.022195274317421895
39,47,2017-11-02,1097.8100,1101.94,1086.87,1094.2200,3658748,November,Thursday,2017,AMZN,-0.0032701469288856162,4,11,0.013865503694094202
40,48,2017-11-01,1105.4000,1108.97,1096.74,1103.6800,3723680,November,Wednesday,2017,AMZN,-0.0015559978288402633,3,11,0.01115123000893559
41,49,2017-10-31,1109.0000,1110.54,1101.12,1105.2800,3428461,October,Tuesday,2017,AMZN,-0.0033543733092876713,2,10,0.008554925893635637
42,50,2017-10-30,1095.0100,1122.79,1093.56,1110.8500,6516639,October,Monday,2017,AMZN,0.014465621318526696,1,10,0.02672921467500642
43,51,2017-10-27,1058.1400,1105.58,1050.55,1100.9500,16360527,October,Friday,2017,AMZN,0.04045778441416064,5,10,0.052382085574223004
44,52,2017-10-26,980.3300,982.9,968.55,972.4300,3670282,October,Thursday,2017,AMZN,-0.008058510909591761,4,10,0.014815962005059134
45,53,2017-10-25,978.0000,984.44,966.24,972.9100,2969295,October,Wednesday,2017,AMZN,-0.005204498977505145,3,10,0.018835899983441012
46,54,2017-10-24,969.0000,979.85,965.0,975.9000,2666782,October,Tuesday,2017,AMZN,0.007120743034055704,2,10,0.015388601036269454
47,55,2017-10-23,986.7300,986.775,962.5,966.3000,3465469,October,Monday,2017,AMZN,-0.02070475205983406,1,10,0.025220779220779196
48,56,2017-10-20,993.5300,994.62,982.0,982.9100,2294145,October,Friday,2017,AMZN,-0.010689158857810035,5,10,0.012851323828920574
49,57,2017-10-19,990.0000,991.05,980.24,986.6100,3040066,October,Thursday,2017,AMZN,-0.0034242424242424104,4,10,0.01102791153186969
50,58,2017-10-18,1009.2700,1022.31,996.55,997.0000,2477357,October,Wednesday,2017,AMZN,-0.01215730181220088,3,10,0.025849179669861014
51,59,2017-10-17,1005.5900,1011.47,1004.38,1009.1300,2307075,October,Tuesday,2017,AMZN,0.003520321403355208,2,10,0.00705908122423787
52,60,2017-10-16,1008.4400,1009.57,1001.04,1006.3400,1991556,October,Monday,2017,AMZN,-0.002082424338582387,1,10,0.008521138016462966
53,61,2017-10-13,1007.0000,1007.77,1001.03,1002.9400,2399403,October,Friday,2017,AMZN,-0.004031777557100244,5,10,0.006733064943108607
54,62,2017-10-12,996.8100,1008.44,992.4,1000.9300,4056172,October,Thursday,2017,AMZN,0.004133184859702456,4,10,0.01616283756549786
55,63,2017-10-11,991.2700,995.5,986.695,995.0000,2310872,October,Wednesday,2017,AMZN,0.0037628496776862187,3,10,0.008923730230719676
56,64,2017-10-10,996.6700,997.95,980.099,987.2000,3062820,October,Tuesday,2017,AMZN,-0.009501640462740841,2,10,0.01821346619066033
57,65,2017-10-09,993.2400,998.5,987.5,990.9900,2927994,October,Monday,2017,AMZN,-0.0022653135193910837,1,10,0.011139240506329114
58,66,2017-10-06,975.6400,995.75,975.64,989.5800,3719840,October,Friday,2017,AMZN,0.014288057070230878,5,10,0.020612111024558254
59,67,2017-10-05,970.0000,981.51,969.64,980.8500,3119487,October,Thursday,2017,AMZN,0.011185567010309302,4,10,0.012241656697330973
60,68,2017-10-04,954.2100,967.79,954.05,965.4500,2460721,October,Wednesday,2017,AMZN,0.011779377705117331,3,10,0.014401760913998229
61,69,2017-10-03,958.0000,963.69,950.37,957.1000,2643484,October,Tuesday,2017,AMZN,-0.0009394572025051954,2,10,0.014015593926576017
62,70,2017-10-02,964.0000,967.305,952.1201,959.1900,2415846,October,Monday,2017,AMZN,-0.004989626556016541,1,10,0.015948513218027822
63,71,2017-09-29,960.1100,964.83,958.375,961.3500,2411643,September,Friday,2017,AMZN,0.0012915186801512421,5,9,0.006735359332202991
64,72,2017-09-28,951.8600,959.7,950.101,956.4000,2512567,September,Thursday,2017,AMZN,0.004769608976109894,4,9,0.010103136403392951
65,73,2017-09-27,948.0000,955.3,943.3,950.8700,3111263,September,Wednesday,2017,AMZN,0.0030274261603375576,3,9,0.01272129757235238
66,74,2017-09-26,945.4900,948.63,931.75,938.6000,3464183,September,Tuesday,2017,AMZN,-0.007287226728997648,2,9,0.018116447544942307
67,75,2017-09-25,949.3100,949.42,932.89,939.7900,5065542,September,Monday,2017,AMZN,-0.010028336370627068,1,9,0.017719130872878873
68,76,2017-09-22,961.0100,965.61,954.42,955.1000,2602418,September,Friday,2017,AMZN,-0.0061497799190434735,5,9,0.011724398063745579
